Rank,Ticker,Name,Period,Group,EBIT_TTM,EBIT_Estimated,EnterpriseValue,EarningsYield,RoC,MarketCap_mnTL,NetDebt_mnTL,FinansmanGideri,Volume_mnUSD,EY_Rank,RoC_Rank,Magic_Score
73,CEMZY,"CEMZY - Cem Zeytin 
	Hisse Senedi",2026/3,March,572593213.0,False,28201200000.0,2.03,11.25,27922.0,279.2,138863518.0,8.0,86.0,55.0,141.0
74,TOASO,"TOASO - Tofaş Fabrika 
	Hisse Senedi",2026/6,June,8009500346.0,False,189384200000.0,4.23,7.31,130250.0,59134.2,664730000.0,23.1,67.0,75.0,142.0
75,QUAGR,"QUAGR - QUA Granite 
	Hisse Senedi",2026/3,March,558842395.0,False,12911200000.0,4.33,5.37,8976.0,3935.2,360706148.0,8.2,64.0,80.0,144.0
76,PGSUS,"PGSUS - Pegasus Hava Taşımacılığı 
	Hisse Senedi",2026/3,March,12064223939.0,False,243884700000.0,4.95,3.73,74350.0,169534.7,4848841000.0,42.7,58.0,88.0,146.0
77,ECOGR,"ECOGR - Ecogreen 
	Hisse Senedi",2026/3,March,1206372737.0,False,26087000000.0,4.62,4.05,17830.8,8256.2,349715798.0,11.2,60.0,86.0,146.0
78,SAHOL,"SAHOL - Sabancı Holding 
	Hisse Senedi",2026/3,March,91699966798.0,False,3009803600000.0,3.05,8.42,172860.9,2836942.7,19367719000.0,64.3,78.0,68.0,146.0
79,KRDMD,"KRDMD - Kardemir (D) 
	Hisse Senedi",2026/3,March,1901044392.0,False,34390900000.0,5.53,2.48,31895.6,2495.3,87718924.0,56.5,54.0,94.0,148.0
80,KRDMA,"KRDMA - Kardemir (A) 
	Hisse Senedi",2026/3,March,585507145.0,False,10933300000.0,5.36,2.48,10164.8,768.5,27016758.0,11.1,56.0,95.0,151.0
81,DMRGD,"DMRGD - DMR Unlu Mamüller 
	Hisse Senedi",2026/3,March,217869186.0,False,17360800000.0,1.25,10.5,17344.1,16.7,26272604.0,16.2,93.0,58.0,151.0
82,KONTR,"KONTR - Kontrolmatik Teknoloji 
	Hisse Senedi",2026/3,March,773799359.0,False,19353500000.0,4.0,4.25,6305.0,13048.5,225643016.0,14.8,68.0,85.0,153.0
83,HRKET,"HRKET - Hareket Proje 
	Hisse Senedi",2026/3,March,673814211.0,False,16880200000.0,3.99,4.41,10932.5,5947.7,283891625.0,8.0,69.0,84.0,153.0
84,GRTHO,"GRTHO - GrainTurk Tarım 
	Hisse Senedi",2026/3,March,792384234.0,False,30058100000.0,2.64,7.39,30987.5,-929.4,380339527.0,7.4,79.0,74.0,153.0
85,KCHOL,"KCHOL - Koç Holding 
	Hisse Senedi",2026/3,March,119517337186.0,False,3532061500000.0,3.38,6.71,485624.5,3046437.0,26167000000.0,81.7,76.0,78.0,154.0
86,DOFRB,"DOFRB - Dof Robotik 
	Hisse Senedi",2026/3,March,233080988.0,False,20732400000.0,1.12,9.17,20429.0,303.4,28304263.0,33.4,96.0,62.0,158.0
87,BIGEN,"BIGEN - Birleşim Grup Enerji 
	Hisse Senedi",2026/6,June,510076553.0,False,62890799999.99999,0.81,9.08,59604.1,3286.7,167155087.0,13.4,98.0,63.0,161.0
88,ODAS,"ODAS - Odaş Elektrik Üretim 
	Hisse Senedi",2026/3,March,481771443.0,False,10625600000.0,4.53,1.19,12166.0,-1540.4,353062124.0,17.4,61.0,103.0,164.0
89,ALFAS,"ALFAS - Alfa Solar 
	Hisse Senedi",2026/3,March,354781132.0,False,17124399999.999998,2.07,4.46,15073.3,2051.1,277834998.0,8.9,84.0,82.0,166.0
90,EREGL,"EREGL - Ereğli Demir Çelik 
	Hisse Senedi",2026/3,March,11480877007.0,False,328271300000.0,3.5,2.61,296800.0,31471.3,3212593000.0,129.4,74.0,93.0,167.0
91,HOROZ,"HOROZ - Horoz Lojistik 
	Hisse Senedi",2026/3,March,192371235.0,False,8001299999.999999,2.4,3.26,4981.4,3019.9,81674524.0,6.2,82.0,92.0,174.0
92,ALTNY,"ALTNY - Altınay Savunma 
	Hisse Senedi",2026/3,March,133261307.0,False,17236300000.0,0.77,4.84,15330.0,1906.3,43768971.0,10.9,99.0,81.0,180.0
93,OBAMS,"OBAMS - Oba Makarnacılık 
	Hisse Senedi",2026/3,March,220952362.0,False,11021599999.999998,2.0,1.89,13634.8,-2613.2,692219681.0,8.2,87.0,97.0,184.0
94,OTKAR,"OTKAR - Otokar 
	Hisse Senedi",2026/3,March,835414959.0,False,68922500000.0,1.21,3.57,36480.0,32442.5,838437000.0,8.3,94.0,90.0,184.0
95,SISE,"SISE - Şişecam 
	Hisse Senedi",2026/3,March,5109028367.0,False,250232500000.0,2.04,1.35,126633.3,123599.2,450804000.0,57.6,85.0,100.0,185.0
96,KRDMB,"KRDMB - Kardemir (B) 
	Hisse Senedi",2026/3,March,291093148.0,False,16331400000.0,1.78,2.48,15949.3,382.1,13431763.0,18.9,89.0,96.0,185.0
97,CVKMD,"CVKMD - Cvk Maden 
	Hisse Senedi",2026/3,March,455610596.0,False,54780900000.0,0.83,3.36,51996.0,2784.9,72609387.0,17.2,97.0,91.0,188.0
